block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
15,1,10455.90322580645,6.35180867667946,0,0,0,True
106,1,13436.387096774193,6.271684546846315,0,0,0,True
48,1,11026.129032258064,5.987847561379151,0,0,0,True
233,2,5651.225806451613,5.933555086332225,0,0,0,True
4,1,19112.1935483871,5.794432003886031,0,0,0,True
64,1,20237.290322580644,5.612161612111492,0,0,0,True
18,1,28888.16129032258,5.582789071686178,0,0,0,True
139,1,16612.625,5.272274177240785,0,0,0,True
66,1,5846.709677419355,5.237541582787253,0,0,0,True
28,1,21380.548387096773,5.185828764931246,0,0,0,True
107,1,10995.967741935483,5.171159918349524,0,0,0,True
79,1,14295.645161290322,5.159072103972324,0,0,0,True
42,1,19824.290322580644,5.010914206635783,0,0,0,True
95,1,3910.0666666666666,4.986203187017374,0,0,0,True
114,1,20717.1935483871,4.973603579924654,0,0,0,True
215,2,6716.6,4.6303347611160905,0,0,0,True
166,2,19054.58064516129,4.534983682784509,0,0,0,True
161,2,10655.133333333333,4.529410067056808,0,0,0,True
157,2,5498.5,4.522167621838006,0,0,0,True
237,2,16774.709677419356,4.2969873046056035,0,0,0,True
84,1,11226.133333333333,4.145144415122616,0,0,0,True
203,2,17369.6875,4.042257259255032,0,0,0,True
51,1,3224.2258064516127,3.816007687651644,0,0,0,True
85,1,4227.323529411765,3.7157897445368917,0,0,0,True
136,1,5824.967741935484,3.6850515028373745,0,0,0,True
121,1,24930.483870967742,3.679682382348181,0,0,0,True
204,2,24192.1875,3.263792847286727,0,0,0,True
165,2,33707.137931034486,3.181022801585879,0,0,0,True
24,1,7022.129032258064,3.128865974963134,0,0,0,True
183,2,20089.41935483871,2.709293367560782,0,0,0,True
149,2,4696.5,2.692582403567252,0,0,0,True
241,2,5453.4,2.6720778431774774,0,0,0,True
25,1,6833.5161290322585,2.650270439541127,0,0,0,True
44,1,5116.4838709677415,2.6502704395411265,0,0,0,True
56,1,8362.612903225807,2.5612171924231233,0,0,0,True
147,2,18170.58064516129,2.324819709255129,0,0,0,True
201,2,5373.451612903225,2.240948959091407,0,0,0,True
97,1,6747.0,2.1997067253202993,0,0,0,True
60,1,16123.322580645161,2.1759254134245225,0,0,0,True
219,2,7993.9655172413795,1.828561873594876,0,0,0,True
14,1,20718.1935483871,1.6736931317513355,0,0,0,True
34,1,6880.71875,1.3046641090717563,0,0,0,True
23,1,33877.74193548387,1.2943485579186376,0,0,0,True
115,1,3868.8064516129034,1.2806085962115614,0,0,0,True
120,1,7281.419354838709,1.2642527704687372,0,0,0,True
74,1,7939.225806451613,0.9741721851962257,0,0,0,True
132,1,10065.387096774193,0.6052149367514102,0,0,0,True
217,2,7497.551724137931,0.5623967734586237,0,0,0,True
198,2,6930.666666666667,0.5374838498865699,0,0,0,True
36,1,23826.677419354837,0.46746376600611106,0,0,0,True
232,2,7822.935483870968,0.35336939193881695,0,0,0,True
35,1,17117.935483870966,0.35336939193881683,0,0,0,True
58,1,5425.903225806452,0.2956500448358606,0,0,0,True
3,1,4113.0,0.0,0,0,0,True
59,1,5585.0,0.0,0,0,0,True
100,1,3762.0,0.0,0,0,0,True
244,2,7829.0,0.0,0,0,0,True
